,Unnamed: 0,Dis_Actual,Dis_Forcst,difference
9,9,540.0,229.0,311.0
10,10,0.0,51.1086,-51.1086
14,14,548.0,270.0,278.0
23,23,280.0,135.0,145.0
24,24,105.0,0.0,105.0
27,27,40.0,78.479,-38.479
36,36,104.0,0.0,104.0
58,58,280.0,135.0,145.0
70,70,280.0,135.0,145.0
93,93,90.0,0.0,90.0
113,113,279.0,135.0,144.0
155,155,280.0,135.0,145.0
176,176,280.0,135.0,145.0
184,184,67.0,51.504,15.496000000000002
205,205,44.0,6.1039,37.8961
210,210,280.0,135.0,145.0
231,231,46.0,6.1039,39.8961
235,235,122.0,63.0,59.0
248,248,123.0,63.0,60.0
252,252,280.0,135.0,145.0
256,256,59.0,59.112,-0.1120000000000018
302,302,108.0,30.0,78.0
306,306,278.0,135.0,143.0
332,332,91.0,92.82,-1.8199999999999927
337,337,280.0,135.0,145.0
359,359,163.0,92.82,70.18
362,362,132.0,37.305,94.695
367,367,275.0,135.0,140.0
378,378,0.0,75.0,-75.0
385,385,118.0,1.3374,116.6626
406,406,275.0,135.0,140.0
407,407,0.0,150.0,-150.0
415,415,174.0,60.636,113.364
416,416,170.0,92.82,77.18
419,419,150.0,0.0,150.0
423,423,276.0,135.0,141.0
428,428,172.0,92.82,79.18
433,433,147.0,0.0,147.0
444,444,89.0,5.3601,83.6399
446,446,0.0,163.0,-163.0
451,451,155.0,51.53,103.47
458,458,46.0,163.0,-117.0
459,459,95.0,0.0,95.0
482,482,154.0,38.31,115.69
487,487,280.0,135.0,145.0
490,490,36.0,60.636,-24.636000000000003
505,505,280.0,135.0,145.0
508,508,170.0,92.82,77.18
510,510,139.0,163.0,-24.0
533,533,170.0,92.82,77.18
539,539,52.0,74.999,-22.998999999999995
552,552,267.0,163.0,104.0
573,573,311.0,163.0,148.0
575,575,171.0,92.82,78.18
586,586,276.0,135.0,141.0
599,599,276.0,135.0,141.0
605,605,170.0,92.82,77.18
627,627,313.0,163.0,150.0
632,632,278.0,135.0,143.0
663,663,314.0,163.0,151.0
684,684,314.0,163.0,151.0
695,695,277.0,135.0,142.0
708,708,275.0,135.0,140.0
726,726,312.0,163.0,149.0
742,742,313.0,163.0,150.0
754,754,208.0,91.143,116.857
778,778,313.0,163.0,150.0
785,785,165.0,73.304,91.696
786,786,277.0,135.0,142.0
787,787,120.0,0.0,120.0
789,789,168.0,92.82,75.18
794,794,0.0,75.361,-75.361
795,795,212.0,91.143,120.857
797,797,97.0,84.589,12.411
811,811,0.0,67.81,-67.81
822,822,314.0,163.0,151.0
826,826,63.0,84.589,-21.589
836,836,136.0,31.901,104.099
838,838,209.0,89.793,119.207
844,844,276.0,135.0,141.0
850,850,312.0,163.0,149.0
853,853,162.0,43.0,119.0
867,867,0.0,67.81,-67.81
875,875,278.0,135.0,143.0
877,877,0.0,67.81,-67.81
895,895,162.0,0.0,162.0
896,896,120.0,31.901,88.099
906,906,314.0,163.0,151.0
910,910,120.0,31.901,88.099
918,918,162.0,43.0,119.0
931,931,315.0,163.0,152.0
944,944,277.0,135.0,142.0
964,964,315.0,163.0,152.0
966,966,162.0,43.0,119.0
973,973,277.0,135.0,142.0
989,989,314.0,163.0,151.0
995,995,276.0,135.0,141.0
1002,1002,162.0,43.902,118.098
1026,1026,189.0,83.183,105.817
1027,1027,275.0,135.0,140.0
1036,1036,162.0,43.902,118.098
1038,1038,313.0,163.0,150.0
1052,1052,315.0,163.0,152.0
1055,1055,162.0,43.0,119.0
1077,1077,163.0,92.82,70.18
1078,1078,208.0,65.613,142.387
1082,1082,275.0,135.0,140.0
1095,1095,165.0,92.82,72.18
1104,1104,312.0,163.0,149.0
1110,1110,162.0,43.0,119.0
1112,1112,275.0,135.0,140.0
1116,1116,212.0,65.613,146.387
1121,1121,313.0,163.0,150.0
1123,1123,212.0,63.985,148.015
1128,1128,276.0,135.0,141.0
1134,1134,172.0,92.82,79.18
1136,1136,160.0,43.0,117.0
1152,1152,0.0,53.0,-53.0
1155,1155,174.0,92.82,81.18
1168,1168,314.0,163.0,151.0
1180,1180,210.0,63.985,146.015
1189,1189,277.0,135.0,142.0
1207,1207,278.0,135.0,143.0
1209,1209,178.0,72.857,105.143
1213,1213,177.0,92.82,84.18
1217,1217,315.0,163.0,152.0
1226,1226,62.0,78.768,-16.768
1229,1229,277.0,135.0,142.0
1237,1237,315.0,163.0,152.0
1245,1245,78.0,0.0,78.0
1258,1258,176.0,92.82,83.18
1264,1264,176.0,92.82,83.18
1279,1279,68.0,103.47,-35.47
1282,1282,99.0,0.0,99.0
1290,1290,278.0,135.0,143.0
1294,1294,314.0,163.0,151.0
1298,1298,118.0,0.0,118.0
1312,1312,314.0,163.0,151.0
1315,1315,125.0,150.0,-25.0
1321,1321,95.0,103.47,-8.469999999999999
1324,1324,278.0,135.0,143.0
