,Plant,DisPatch
0,LVPS 1,702469
1,LVPS 2,695219
2,LVPS 3,688639
3,WCP,542372
4,ACE EMBP,173418
5,Sapu B,150106
6,Sojitz CCP,138635
7,Barge,136623
8,Nlax,125595
9,Sapu A,105651
10,Polp,104110
11,Kukule,97776
12,Koth,93344
13,Upper Kothmale,69501
14,Uku,64075
15,Rand,59991
16,Olax,59163
17,Asia Power,48495
18,Vict,47258
19,ACE Matara,35746
20,Uthuru Janani,35016
21,Canyon,34359
22,Rant,30474
23,Sam,29362
24,Bowa,22439
25,WPS,16902
26,VPOWER Hamb.,13319
27,VPOWER Palle.,13275
28,CEB Sup Power,9920
29,VPOWER Galle,5815
30,ALTAQQA-Pol.,2256
31,ALTAQQA-Mahi.,2202
32,KPS(GT7),350
33,VPOWER Horona,24
34,KPS(GT),10
35,KCCP,0
