,Actual System Dispatch,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,7/1/2020 0:00,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99
0,Time,0:15:00,0:30:00,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,0:00,Energy/(MWh) *,,
1,Canyon,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,425,,
2,WPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,,
3,Olax,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,29,29,37,37,37,37,37,37,26,26,24,14,14,36,30,30,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,39,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,30,30,51,52,52,52,52,51,28,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,666,,
4,Nlax,46,45,19,20,19,15,9,10,10,10,12,10,11,20,30,29,34,50,18,16,27,24,68,106,106,78,72,17,15,21,74,17,25,69,70,71,70,69,68,71,70,72,102,106,106,106,105,104,83,81,80,78,75,80,80,59,79,80,83,106,104,104,106,106,106,106,106,104,81,59,56,42,46,41,87,103,106,106,106,106,105,105,105,105,90,78,20,16,29,29,27,44,39,37,37,17,1502,,
5,Polp,21,19,20,19,18,17,22,20,21,25,23,21,24,22,22,20,27,22,18,18,33,27,43,49,80,75,77,77,73,38,14,18,27,22,21,25,60,79,81,83,81,84,81,83,81,84,88,85,90,90,89,88,85,71,73,67,75,61,55,49,45,46,56,56,57,58,58,90,88,90,89,53,53,46,59,81,90,90,90,90,87,88,87,57,61,50,59,22,22,23,21,25,23,20,20,20,1220,,
6,Upper Kothmale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,75,75,72,55,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,50,75,75,75,60,60,40,66,66,65,50,40,40,40,0,0,0,0,0,0,0,0,336,,
7,Koth,54,42,43,44,39,41,40,37,40,52,52,41,51,49,44,38,65,43,36,32,71,61,66,52,53,36,28,34,26,39,24,36,62,39,40,50,46,45,39,51,43,54,41,55,39,58,34,29,51,52,37,34,26,39,43,32,46,40,53,36,31,31,31,31,31,31,31,31,31,31,31,31,31,37,59,36,53,41,42,45,32,33,38,41,54,28,47,36,45,47,37,61,50,41,39,33,1070,,
8,Vict,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,83,81,78,78,41,41,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,,
9,Rand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,41,39,39,39,41,39,39,39,39,41,41,41,41,41,41,41,41,41,41,41,41,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,80,80,80,41,41,41,41,41,41,73,81,81,81,81,42,40,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,848,,
