,Plant,Date,Time,sum(Dispatch)
0,Uku,7/10/2020,0:00,20
1,VPOWER Galle,7/10/2020,0:00,0
2,Uthuru Janani,7/10/2020,0:00,0
3,Olax,7/10/2020,0:00,10
4,Sapu A,7/10/2020,0:00,33
5,WPS,7/10/2020,0:00,0
6,LVPS 2,7/10/2020,0:00,270
7,Upper Kothmale,7/10/2020,0:00,0
8,KPS(GT),7/10/2020,0:00,0
9,Rand,7/10/2020,0:00,0
10,Kukule,7/10/2020,0:00,74.999
11,VPOWER Hamb.,7/10/2020,0:00,0
12,VPOWER Palle.,7/10/2020,0:00,0
13,CEB Sup Power,7/10/2020,0:00,0
14,LVPS 3,7/10/2020,0:00,270
15,Koth,7/10/2020,0:00,32.986
16,Bowa,7/10/2020,0:00,0
17,Barge,7/10/2020,0:00,34
18,KCCP,7/10/2020,0:00,0
19,ALTAQQA-Mahi.,7/10/2020,0:00,0
20,Rant,7/10/2020,0:00,0
21,Sam,7/10/2020,0:00,0
22,Vict,7/10/2020,0:00,0
23,ACE Matara,7/10/2020,0:00,0
24,ALTAQQA-Pol.,7/10/2020,0:00,0
25,Sojitz CCP,7/10/2020,0:00,0
26,VPOWER Horona,7/10/2020,0:00,0
27,Nlax,7/10/2020,0:00,60.472
28,Asia Power,7/10/2020,0:00,0
29,WCP,7/10/2020,0:00,175
30,LVPS 1,7/10/2020,0:00,270
31,Sapu B,7/10/2020,0:00,42
32,Polp,7/10/2020,0:00,78.479
33,ACE EMBP,7/10/2020,0:00,0
34,Canyon,7/10/2020,0:00,28.065
35,KPS(GT7),7/10/2020,0:00,0
36,Sapu B,7/10/2020,0:30,42
37,Barge,7/10/2020,0:30,34
38,VPOWER Galle,7/10/2020,0:30,0
39,Canyon,7/10/2020,0:30,11.04
40,Bowa,7/10/2020,0:30,0
41,Asia Power,7/10/2020,0:30,0
42,ALTAQQA-Mahi.,7/10/2020,0:30,0
43,KPS(GT7),7/10/2020,0:30,0
44,Vict,7/10/2020,0:30,0
45,Sam,7/10/2020,0:30,0
46,WPS,7/10/2020,0:30,0
47,Nlax,7/10/2020,0:30,60.472
48,ACE Matara,7/10/2020,0:30,0
49,WCP,7/10/2020,0:30,240
50,CEB Sup Power,7/10/2020,0:30,0
51,KCCP,7/10/2020,0:30,0
52,Koth,7/10/2020,0:30,30.986
53,LVPS 3,7/10/2020,0:30,270
54,Sojitz CCP,7/10/2020,0:30,0
55,Kukule,7/10/2020,0:30,32.518
56,Uku,7/10/2020,0:30,20
57,Olax,7/10/2020,0:30,10
58,ALTAQQA-Pol.,7/10/2020,0:30,0
59,Sapu A,7/10/2020,0:30,33
60,Upper Kothmale,7/10/2020,0:30,0
61,VPOWER Horona,7/10/2020,0:30,0
62,Polp,7/10/2020,0:30,43.419
63,LVPS 2,7/10/2020,0:30,270
64,ACE EMBP,7/10/2020,0:30,0
65,Rand,7/10/2020,0:30,0
66,VPOWER Hamb.,7/10/2020,0:30,0
67,VPOWER Palle.,7/10/2020,0:30,0
68,LVPS 1,7/10/2020,0:30,266.57
69,Rant,7/10/2020,0:30,0
70,Uthuru Janani,7/10/2020,0:30,0
71,KPS(GT),7/10/2020,0:30,0
72,VPOWER Horona,7/10/2020,1:00,0
73,Uku,7/10/2020,1:00,0
74,Bowa,7/10/2020,1:00,0
75,VPOWER Palle.,7/10/2020,1:00,0
76,Upper Kothmale,7/10/2020,1:00,0
77,ALTAQQA-Mahi.,7/10/2020,1:00,0
78,Vict,7/10/2020,1:00,0
79,KCCP,7/10/2020,1:00,0
80,Polp,7/10/2020,1:00,28.77
81,Kukule,7/10/2020,1:00,28.567
82,ACE EMBP,7/10/2020,1:00,0
83,Sam,7/10/2020,1:00,0
84,Nlax,7/10/2020,1:00,60.472
85,KPS(GT7),7/10/2020,1:00,0
