,Plant,Date,Time,Dispatch
0,Canyon,2020 - 07 - 01,00:00,20.0
1,WPS,2020 - 07 - 01,00:00,0.0
2,Olax,2020 - 07 - 01,00:00,10.0
3,Nlax,2020 - 07 - 01,00:00,39.0
4,Polp,2020 - 07 - 01,00:00,39.0
5,Upper Kothmale,2020 - 07 - 01,00:00,0.0
6,Koth,2020 - 07 - 01,00:00,87.0
7,Vict,2020 - 07 - 01,00:00,0.0
8,Rand,2020 - 07 - 01,00:00,0.0
9,Rant,2020 - 07 - 01,00:00,0.0
10,Uku,2020 - 07 - 01,00:00,72.0
11,Bowa,2020 - 07 - 01,00:00,0.0
12,Sam,2020 - 07 - 01,00:00,0.0
13,Kukule,2020 - 07 - 01,00:00,104.0
14,LVPS 1,2020 - 07 - 01,00:00,548.0
15,LVPS 2,2020 - 07 - 01,00:00,538.0
16,LVPS 3,2020 - 07 - 01,00:00,540.0
17,Sapu A,2020 - 07 - 01,00:00,66.0
18,Sapu B,2020 - 07 - 01,00:00,119.0
19,Uthuru Janani,2020 - 07 - 01,00:00,0.0
20,Barge,2020 - 07 - 01,00:00,90.0
21,KCCP,2020 - 07 - 01,00:00,0.0
22,ACE EMBP,2020 - 07 - 01,00:00,0.0
23,ACE Matara,2020 - 07 - 01,00:00,0.0
24,Asia Power,2020 - 07 - 01,00:00,0.0
25,WCP,2020 - 07 - 01,00:00,280.0
26,Sojitz CCP,2020 - 07 - 01,00:00,0.0
27,KPS(GT7),2020 - 07 - 01,00:00,0.0
28,KPS(GT),2020 - 07 - 01,00:00,0.0
29,CEB Sup Power,2020 - 07 - 01,00:00,0.0
30,VPOWER Hamb.,2020 - 07 - 01,00:00,0.0
31,VPOWER Palle.,2020 - 07 - 01,00:00,0.0
32,VPOWER Horona,2020 - 07 - 01,00:00,0.0
33,ALTAQQA-Pol.,2020 - 07 - 01,00:00,0.0
34,ALTAQQA-Mahi.,2020 - 07 - 01,00:00,0.0
35,Canyon,2020 - 07 - 01,00:30,20.0
36,WPS,2020 - 07 - 01,00:30,0.0
37,Olax,2020 - 07 - 01,00:30,10.0
38,Nlax,2020 - 07 - 01,00:30,34.0
39,Polp,2020 - 07 - 01,00:30,35.0
40,Upper Kothmale,2020 - 07 - 01,00:30,0.0
41,Koth,2020 - 07 - 01,00:30,80.0
42,Vict,2020 - 07 - 01,00:30,0.0
43,Rand,2020 - 07 - 01,00:30,0.0
44,Rant,2020 - 07 - 01,00:30,0.0
45,Uku,2020 - 07 - 01,00:30,57.0
46,Bowa,2020 - 07 - 01,00:30,0.0
47,Sam,2020 - 07 - 01,00:30,0.0
48,Kukule,2020 - 07 - 01,00:30,90.0
49,LVPS 1,2020 - 07 - 01,00:30,547.0
50,LVPS 2,2020 - 07 - 01,00:30,539.0
51,LVPS 3,2020 - 07 - 01,00:30,541.0
52,Sapu A,2020 - 07 - 01,00:30,91.0
53,Sapu B,2020 - 07 - 01,00:30,119.0
54,Uthuru Janani,2020 - 07 - 01,00:30,0.0
55,Barge,2020 - 07 - 01,00:30,90.0
56,KCCP,2020 - 07 - 01,00:30,0.0
57,ACE EMBP,2020 - 07 - 01,00:30,0.0
58,ACE Matara,2020 - 07 - 01,00:30,0.0
59,Asia Power,2020 - 07 - 01,00:30,0.0
60,WCP,2020 - 07 - 01,00:30,280.0
61,Sojitz CCP,2020 - 07 - 01,00:30,0.0
62,KPS(GT7),2020 - 07 - 01,00:30,0.0
63,KPS(GT),2020 - 07 - 01,00:30,0.0
64,CEB Sup Power,2020 - 07 - 01,00:30,0.0
65,VPOWER Hamb.,2020 - 07 - 01,00:30,0.0
66,VPOWER Palle.,2020 - 07 - 01,00:30,0.0
67,VPOWER Horona,2020 - 07 - 01,00:30,0.0
68,ALTAQQA-Pol.,2020 - 07 - 01,00:30,0.0
69,ALTAQQA-Mahi.,2020 - 07 - 01,00:30,0.0
70,Canyon,2020 - 07 - 01,01:00,20.0
71,WPS,2020 - 07 - 01,01:00,0.0
72,Olax,2020 - 07 - 01,01:00,10.0
73,Nlax,2020 - 07 - 01,01:00,19.0
74,Polp,2020 - 07 - 01,01:00,42.0
75,Upper Kothmale,2020 - 07 - 01,01:00,0.0
76,Koth,2020 - 07 - 01,01:00,77.0
77,Vict,2020 - 07 - 01,01:00,0.0
78,Rand,2020 - 07 - 01,01:00,0.0
79,Rant,2020 - 07 - 01,01:00,0.0
80,Uku,2020 - 07 - 01,01:00,0.0
81,Bowa,2020 - 07 - 01,01:00,0.0
82,Sam,2020 - 07 - 01,01:00,0.0
83,Kukule,2020 - 07 - 01,01:00,52.0
84,LVPS 1,2020 - 07 - 01,01:00,545.0
85,LVPS 2,2020 - 07 - 01,01:00,540.0
86,LVPS 3,2020 - 07 - 01,01:00,541.0
87,Sapu A,2020 - 07 - 01,01:00,108.0
88,Sapu B,2020 - 07 - 01,01:00,122.0
89,Uthuru Janani,2020 - 07 - 01,01:00,0.0
90,Barge,2020 - 07 - 01,01:00,90.0
91,KCCP,2020 - 07 - 01,01:00,0.0
92,ACE EMBP,2020 - 07 - 01,01:00,0.0
93,ACE Matara,2020 - 07 - 01,01:00,0.0
94,Asia Power,2020 - 07 - 01,01:00,0.0
95,WCP,2020 - 07 - 01,01:00,279.0
96,Sojitz CCP,2020 - 07 - 01,01:00,0.0
97,KPS(GT7),2020 - 07 - 01,01:00,0.0
98,KPS(GT),2020 - 07 - 01,01:00,0.0
99,CEB Sup Power,2020 - 07 - 01,01:00,0.0
100,VPOWER Hamb.,2020 - 07 - 01,01:00,0.0
101,VPOWER Palle.,2020 - 07 - 01,01:00,0.0
