3.    Day Ahead Economic Dispatch for next day in MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,04-Jul-20,,,,,,,,,,,,4-Jul-20,,,,,,,,,,,,,,4-Jul-20,,,,,,,,,,,,,,4-Jul-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPS     ,23,23,0,0,0,0,0,0,0,0,0,10,27,27,27,27,29,10,10,10,10,10,40,40,40,24,24,10,10,10,10,10,10,10,0,0,0,17,29,29,10,10,0,0,0,0,0,0,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,,,,
Cany     ,11,11,0,0,0,0,0,0,0,0,11,11,30,30,11,11,17,17,30,30,30,30,30,30,30,30,30,17,26,27,27,27,30,30,30,11,11,30,30,30,30,30,30,30,13,13,0,0,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kothmale,,,,
Olax       ,10,10,10,10,10,10,10,10,10,10,10,10,24,10,10,10,53,53,53,53,53,53,53,45,14,14,14,14,14,14,14,14,14,14,14,14,39,54,54,54,54,54,54,54,10,10,10,0,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samanalawewa,,,,
Nlax,22,22,22,20,20,20,20,20,20,31,31,31,31,31,31,31,56,56,56,56,56,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,92,92,54,54,20,20,0,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxapana,,,,
Polp,19,18,18,6,6,6,6,6,6,13,6,78,78,71,40,7,73,73,73,73,73,73,73,73,73,70,35,35,35,35,47,68,78,78,78,60,78,78,78,78,78,78,53,53,53,53,50,30,1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up Koth,,,,
UKPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,43,43,43,43,43,43,43,68,68,0,0,0,150,150,150,150,68,68,68,43,43,43,43,932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCCP GT,,,,
Koth,40,40,40,40,40,59,58,58,58,60,64,42,43,43,70,68,67,66,0,7,40,49,49,49,49,49,49,40,40,40,40,40,57,57,57,57,57,57,64,62,62,62,62,62,62,40,40,40,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCCP ,,,,
Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,113,113,44,44,44,21,0,0,0,0,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,43,0,0,0,43,43,43,43,43,44,44,44,44,48,48,48,43,43,79,79,69,43,43,0,0,0,0,0,0,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rant,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40,40,40,40,20,20,20,20,0,0,0,0,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uku,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,36,36,36,36,36,36,36,34,34,34,34,34,34,27,11,11,11,36,36,36,36,36,36,36,11,0,0,0,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,40,40,40,40,40,10,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,66,66,66,10,10,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
