,Plant,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,Date
0,WPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.241,47.241,10.0,0.0,10.0,10.0,0.0,10.0,40.05,0.0,0.0,0.0,0.0,0.0,10.0,25.176,28.076,28.076,0.0,0.0,0.0,47.241,47.241,47.241,47.241,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2020 - 07 - 10
1,Canyon,28.065,11.04,11.04,0.0,0.0,0.0,0.0,0.0,11.04,11.04,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,19.7,2020 - 07 - 10
2,Olax,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,37.62,37.62,37.62,25.87,30.684,30.684,30.684,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,10.0,54.0,54.0,54.0,38.82,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2020 - 07 - 10
3,Nlax,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,64.431,64.431,77.874,60.472,60.472,60.472,60.472,60.472,60.472,60.472,80.756,100.79,71.915,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,2020 - 07 - 10
4,Polp,78.479,43.419,28.77,28.77,15.62,15.62,15.62,7.2701,7.2701,38.314,38.314,46.209,46.209,33.05,33.05,33.05,51.68,69.36,67.342,67.342,67.342,67.342,67.342,67.342,68.784,68.784,41.26,78.479,78.479,78.479,54.647,55.771,55.771,55.771,55.771,55.771,13.104,78.479,78.479,78.479,78.479,65.29,38.314,38.314,38.314,38.314,38.314,38.314,2020 - 07 - 10
5,Upper Kothmale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.486,58.486,55.222,89.922,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,144.95,88.2,88.2,88.2,61.659,61.659,2020 - 07 - 10
6,Koth,32.986,30.986,29.586,27.486,26.636,26.386,26.286,25.636,27.186,30.736,37.186,9.7556,13.176,12.426,44.986,47.286,53.436,58.136,59.136,59.636,59.386,60.386,61.336,62.386,61.086,58.136,55.436,60.045,61.345,76.738,58.536,59.236,59.336,58.886,55.936,54.386,60.586,46.6,69.63,38.989,69.286,64.536,59.436,54.186,47.036,39.786,35.836,33.136,2020 - 07 - 10
7,Vict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.258,67.758,67.758,67.758,67.758,67.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
8,Rand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,43.0,43.0,62.186,90.236,90.236,90.236,90.236,90.236,96.673,96.673,96.673,71.307,71.307,71.307,62.757,43.0,43.0,43.0,43.22,96.673,96.673,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
9,Rant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,40.0,40.0,40.0,40.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,2020 - 07 - 10
10,Uku,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,20.0,20.0,2020 - 07 - 10
